Ticker,Date,Price,Flow
USD/JPY_B,2/1/2017 8:00,113.336,1.112825
USD/JPY_B,2/1/2017 9:00,113.596,1.178175
USD/JPY_B,2/1/2017 10:00,113.719,1.175332
USD/JPY_B,2/1/2017 11:00,113.507,1.130379
USD/JPY_B,2/1/2017 12:00,113.295,1.129925
USD/JPY_B,2/1/2017 13:00,113.468,1.134016
USD/JPY_B,2/1/2017 14:00,113.494,1.142245
USD/JPY_B,2/1/2017 15:00,113.026,1.10084
USD/JPY_B,2/1/2017 16:00,113.228,1.073828
USD/JPY_B,2/1/2017 17:00,113.224,1.069965
USD/JPY_B,2/1/2017 18:00,113.311,1.063983
USD/JPY_B,2/1/2017 19:00,113.3,1.04876
USD/JPY_B,2/1/2017 20:00,112.952,1.01491
USD/JPY_B,2/1/2017 21:00,113.064,1.028398
USD/JPY_B,2/1/2017 22:00,113.038,1.025932
USD/JPY_B,2/1/2017 23:00,112.725,1.016536
USD/JPY_B,2/2/2017 0:00,112.807,1.03376
USD/JPY_B,2/2/2017 1:00,112.552,1.019794
USD/JPY_B,2/2/2017 2:00,112.766,1.059308
USD/JPY_B,2/2/2017 3:00,112.855,1.085941
USD/JPY_B,2/2/2017 4:00,112.478,1.091175
USD/JPY_B,2/2/2017 5:00,112.452,1.101723
USD/JPY_B,2/2/2017 6:00,112.362,1.117747
USD/JPY_B,2/2/2017 7:00,112.27,1.112825
USD/JPY_B,2/2/2017 8:00,112.425,1.166847
USD/JPY_B,2/2/2017 9:00,112.246,1.194426
USD/JPY_B,2/2/2017 10:00,112.259,1.245677
USD/JPY_B,2/2/2017 11:00,112.446,1.278943
USD/JPY_B,2/2/2017 12:00,112.49,1.319647
USD/JPY_B,2/2/2017 13:00,112.746,1.335903
USD/JPY_B,2/2/2017 14:00,112.794,1.31107
USD/JPY_B,2/2/2017 15:00,112.676,1.31107
USD/JPY_B,2/2/2017 16:00,112.743,1.289902
USD/JPY_B,2/2/2017 17:00,112.792,1.308403
USD/JPY_B,2/2/2017 18:00,112.857,1.318572
USD/JPY_B,2/2/2017 19:00,112.806,1.314815
USD/JPY_B,2/2/2017 20:00,112.928,1.330459
